,0,1,2
0,Amazing Thai Cuisine,34.1646363,-118.3619275
1,Bravo Pizza and Chicken,34.1647685,-118.3609538
2,Little Caesars Pizza,34.16457219999999,-118.3618233
3,The Magnolia Grille,34.1645675,-118.3605992
4,Chipotle Mexican Grill,34.1723435,-118.4483128
5,PizzaRev,34.1724478,-118.448277
6,Pizza Hut,34.1718624,-118.457807
7,Panda Express,34.1724998,-118.447912
8,Four 'n 20 Restaurant Grill,34.1711614,-118.4483911
9,Bamboo Forest Chinese Restaurant,34.1718853,-118.4565358
10,Jersey Mike's Subs,34.1724943,-118.4477751
11,Bill's Burgers,34.1792795,-118.454532
12,Napoli's Pizza Kitchen,34.1723624,-118.4563881
13,KFC,34.1718587,-118.4495167
14,O Sumo Sushi,34.1664096,-118.44833
15,Starbucks,34.1725119,-118.4475469
16,Crème Caramel LA,34.1723807,-118.4569464
17,Subway,34.1861082,-118.623596
18,Stonefire Grill,34.1872454,-118.6237898
19,Baja Fresh,34.1867876,-118.6243367
20,Olive Garden Italian Restaurant,34.1882451,-118.6237479
21,Taqueria El Tapatio,34.1860452,-118.6237983
22,Menchie's,34.192137,-118.62548
23,Jack in the Box,34.1862029,-118.62224
24,McDonald's,34.1878862,-118.6254349
25,Chick-fil-A,34.1867782,-118.6230377
26,Church's Chicken,33.9934941,-118.2831294
27,Domino's Pizza,33.992913,-118.2831569
28,Tacos Los Guichos,33.9888155,-118.279042
29,Lawry's The Prime Rib,34.0679174,-118.3759687
30,The Stinking Rose,34.0666779,-118.3766298
31,The Bazaar by José Andrés,34.0700587,-118.3771994
32,The IZAKA-YA by KATSU-YA West Hollywood,34.0728972,-118.3739339
33,Morton's The Steakhouse,34.0700076,-118.3768816
34,Il Cielo,34.0719456,-118.3884
35,Matsuhisa,34.0683794,-118.3765414
36,Gyu-Kaku Japanese BBQ,34.0691189,-118.3767025
37,A.O.C.,34.0734052,-118.3819651
38,The 3rd Stop,34.0734089,-118.3808238
39,Souplantation,34.0746154,-118.3763642
40,berri's Cafe,34.0729058,-118.3738198
41,Corner Bakery Cafe,34.0746726,-118.3756797
42,Locanda Veneta,34.0734209,-118.3810981
43,Bombay Palace,34.0661715,-118.3812087
44,Son of a Gun,34.0727023,-118.3725117
45,Lady M Cake Boutique,34.073396,-118.3822853
46,Berth 55 Fish Market and Seafood Deli,33.77297900000001,-118.2082667
47,Long Beach Sportfishing At Berth 55,33.77297900000001,-118.2082667
48,The Coffee Bean and Tea Leaf,33.7699437,-118.1988614
49,Hot Wings Cafe,34.1550659,-118.4489614
50,Burger Lounge,34.15475,-118.4476698
51,Pico Pica Rico,34.1646918,-118.4563647
52,McDonald's,33.9535704,-118.1971488
53,The Red Lion Tavern,34.0992121,-118.2589436
54,Gingergrass Silverlake,34.1000294,-118.2590349
55,Spain Restaurant,34.0896564,-118.2587608
56,Silverlake Coffee,34.0999058,-118.2590337
57,by CHLOE.,34.1028793,-118.2584374
58,Burgers Never Say Die,34.0998779,-118.2589207
59,The Bagel Factory,34.0406998,-118.3874186
60,Joe's Falafel,34.1331426,-118.3572196
61,SunCafe Organic,34.1385865,-118.3665562
62,Fatburger,34.1372658,-118.3637671
63,Fatburger,33.9597848,-118.3259789
64,Lavender Blue Restaurant Lounge,33.9596206,-118.3292875
65,Jack in the Box,33.96026820000001,-118.3269869
66,Rally's,33.9605454,-118.3262527
67,Big Fish Market,33.96233369999999,-118.3266969
68,In-N-Out Burger,34.0982287,-118.3416747
69,Bossa Nova Brazilian Cuisine,34.098219,-118.3465829
70,Chick-fil-A,34.0977555,-118.3382322
71,Musso & Frank Grill,34.1018304,-118.3354085
72,Buffalo Wild Wings,34.1012441,-118.3436836
73,Mel's Drive-In Hollywood,34.1010804,-118.338528
74,Lucky Strike Live,34.102321,-118.3399899
75,Next Door Lounge,34.0923001,-118.3382046
76,Salt's Cure,34.0922521,-118.3387922
77,California Pizza Kitchen at Hollywood,34.102321,-118.3399899
78,Miceli's,34.1013446,-118.3359992
79,Johnny Rockets,34.1020646,-118.3396885
80,Ross Dress for Less,34.0974511,-118.3433922
81,Mashti Malone's Ice Cream,34.0987706,-118.3445405
82,Commonwealth Restaurant,34.1822953,-118.3046371
83,Summer Buffalo Burbank,34.1802943,-118.3025748
84,Subway Restaurants,34.180485,-118.303322
85,Fosters Freeze,34.1821044,-118.3051208
86,Dunkin',34.1824772,-118.3048216
87,Yum Yum Donuts,34.1795767,-118.30165
88,Gus's World Famous Fried Chicken,34.1799875,-118.3022437
89,The Federal NoHo,34.167238,-118.3760896
90,Eat That Burger,34.17183139999999,-118.3736344
91,101 Korean BBQ,34.1723771,-118.3705514
92,McDonald's,34.1724867,-118.3722633
93,Robina's Indian Cuisine,34.172396,-118.369492
94,Andy's Restaurant,34.1681219,-118.3700378
95,Subway Restaurants,34.2243084,-118.3978065
96,Carl's Jr.,34.2231794,-118.3968215
97,Domino's Pizza,34.2220304,-118.3977001
98,Taco Bell,34.2210106,-118.3961596
99,KFC,34.2214103,-118.3958401
100,McDonald's,34.2168964,-118.3881489
101,7-Eleven,34.2232419,-118.3874414
102,McDonald's,33.8894229,-118.1692483
103,Lovi's Delicatessen,34.1532015,-118.6501765
104,Taco Bell,34.2187732,-118.5880202
105,Oishi Japanese Cuisine,34.2185314,-118.5890161
106,El Pollo Inka,33.8100158,-118.3515253
107,Truxton's American Bistro,33.79887009999999,-118.3507173
108,Domino's Pizza,34.1943242,-118.4665561
109,McDonald's,34.2007556,-118.4666707
110,Kyushu Ramen,34.2017093,-118.4679878
111,Taco Bell,34.2015027,-118.4746601
112,Kebab Halebi,34.2016726,-118.4671013
113,Costa Grande,34.200283,-118.467119
114,7-Eleven,34.19422100000001,-118.4669109
115,Paul Martin's American Grill,33.9024607,-118.3806628
116,Marie et Cie.,34.1572001,-118.3879663
117,Taco Bell,34.164679,-118.3875327
118,Popeyes Louisiana Kitchen,34.1640985,-118.3962053
119,Wienerschnitzel,34.1640978,-118.3968443
120,Yum Yum Donuts,34.1651069,-118.3875783
121,La Carreta Taqueria,34.0040969,-118.2479341
122,Two Guns Espresso,33.881456,-118.3954522
123,El Tarasco Mexican Food,33.881456,-118.3954522
124,Jack in the Box,33.8844763,-118.3962972
125,Big Wok Mongolian BBQ,33.8809296,-118.3956347
126,The Original Rinaldi's Deli and Cafe,33.881456,-118.3954522
127,India's Tandoori,33.8852625,-118.3957031
128,El Gringo Manhattan,33.8853253,-118.3964031
129,Sion's Mexican Restaurant,33.88117950000001,-118.3961842
130,O-Sho Restaurant,33.8850494,-118.3963853
131,Indian restaurant,33.8852268,-118.396353
132,Barsha Wines And Spirits,33.8852268,-118.396353
133,Road to Seoul,34.0484786,-118.3087058
134,Chosun Galbee,34.0523661,-118.3104412
135,Chocolate Cafe,34.0474429,-118.316412
136,Subway Restaurants,34.0419933,-118.3083176
137,Domino's Pizza,34.04759050000001,-118.3161995
138,Dunkin',34.0433827,-118.309263
139,Meat Love Korean BBQ,34.0496479,-118.3095506
140,Genwa Korean BBQ,34.0624493,-118.3409877
141,Subway Restaurants,34.0626722,-118.3393022
142,Busby's East,34.0620685,-118.3458389
143,Jack in the Box,34.0624568,-118.3431136
144,Republique,34.0641419,-118.3437075
145,Commerson,34.0606939,-118.3443038
146,Isa Japanese Ramen,34.0583836,-118.3453485
147,El Chato Taco Truck,34.0569155,-118.3462844
148,Sake House Miro,34.0602288,-118.3450787
149,Spare Tire Kitchen & Tavern,34.0619702,-118.3459254
150,Top Round Roast Beef,34.0570399,-118.3455784
151,Numero Uno Pizza,34.0617568,-118.3391178
152,Beverly Hills Medical Billing,34.0626722,-118.3393022
153,Harry's Auto Collision Center,34.0566713,-118.3463318
154,GNC,34.0626722,-118.3393022
155,Wilshire Beauty,34.062556,-118.3464134
156,7-Eleven,34.0617656,-118.3386878
157,Subway Restaurants,33.9304538,-118.2874244
158,Wingstop,33.931801,-118.28305
159,Jim Dandy Fried Chicken,33.9316207,-118.291237
160,Jack in the Box,33.9307502,-118.2822294
161,McDonald's,33.9312628,-118.2829473
162,Mom's Bar-B-Q,33.9307284,-118.2938009
163,Redbox,33.9250298,-118.2909589
164,Teresitas Restaurant,34.0357912,-118.1836447
165,Birrieria Chalio,34.0357796,-118.1896973
166,Tom's Burgers,34.0358342,-118.1901237
167,McDonald's,34.0330081,-118.1838047
168,First Street Burgers,34.0361554,-118.1856529
169,Liliana's Tamales,34.0363095,-118.1934563
170,Jack in the Box,34.0329585,-118.192117
171,7-Eleven,34.033711,-118.1849243
172,7-Eleven,34.0363757,-118.1915966
173,Redbox,33.9940062,-118.273401
174,Domino's Pizza,34.2497264,-118.5880625
175,Carl's Jr.,34.2495568,-118.5890533
176,Taco Bell,34.2740165,-118.4488888
177,Bottega Louie,34.04702470000001,-118.2565689
178,Library Bar,34.0491192,-118.2564635
179,Cicada Club,34.0478472,-118.2548779
180,The Original Pantry Cafe,34.0460596,-118.2607627
181,Perch,34.0489739,-118.2513606
182,The Palm Los Angeles,34.0424955,-118.2638999
183,Casey's Irish Pub,34.0484808,-118.2557888
184,Yard House,34.0451527,-118.2656797
185,Wokcano,34.0486425,-118.2591102
186,Morton's The Steakhouse,34.049209,-118.260562
187,Mendocino Farms,34.051561,-118.2549921
188,Cupid's Hot Dogs,34.19363390000001,-118.5700522
189,King's Mongolian Bar-B-Q,34.1934655,-118.5617211
190,Daglas Drive-In,34.1936147,-118.570246
191,Del Taco,34.1933757,-118.5615276
192,Sabroso Mexican Restaurant,34.1935896,-118.5628982
193,KFC,34.2019346,-118.5725942
194,Guidos Pizza & Pasta,34.2020314,-118.5715841
195,Public Storage,34.2002931,-118.5727766
196,Taj Palace Indian Cuisine,34.0460192,-118.5248033
197,Subway Restaurants,34.04731659999999,-118.5260868
198,MATTHEWS GARDEN CAFE,34.0464216,-118.5262761
199,Cafe Vida,34.047282,-118.5264437
200,Pearl Dragon,34.0467998,-118.5246887
201,Beech Street Cafe,34.0465346,-118.5263328
