name,lat,lng,likes,ratings,photos
Chipotle Mexican Grill,34.1723435,-118.4483128,61,7.2,46
Baja Fresh,34.1867876,-118.6243367,12,6.6,28
Taqueria El Tapatio,34.1860452,-118.6237983,17,7.8,47
Pico Pica Rico,34.1646918,-118.4563647,14,7.4,7
Andy's Restaurant,34.1681219,-118.3700378,8,7.7,15
Taco Bell,34.2210106,-118.3961596,12,5.9,3
7-Eleven,34.2232419,-118.3874414,5,6.3,25
Taco Bell,34.2187732,-118.5880202,7,6.0,7
Taco Bell,34.2015027,-118.4746601,17,5.7,13
Costa Grande,34.200283,-118.467119,12,7.7,12
7-Eleven,34.19422100000001,-118.4669109,3,7.2,23
Taco Bell,34.164679,-118.3875327,23,6.2,12
La Carreta Taqueria,34.0040969,-118.2479341,17,7.5,17
El Tarasco Mexican Food,33.881456,-118.3954522,11,7.4,15
Sion's Mexican Restaurant,33.88117950000001,-118.3961842,22,8.5,33
Chocolate Cafe,34.0474429,-118.316412,3,7.1,9
7-Eleven,34.0617656,-118.3386878,13,7.3,35
Teresitas Restaurant,34.0357912,-118.1836447,12,7.6,15
Liliana's Tamales,34.0363095,-118.1934563,7,6.7,20
7-Eleven,34.033711,-118.1849243,5,6.4,34
7-Eleven,34.0363757,-118.1915966,7,7.4,22
Taco Bell,34.2740165,-118.4488888,13,7.2,43
Sabroso Mexican Restaurant,34.1935896,-118.5628982,9,7.4,17
Public Storage,34.2002931,-118.5727766,0,6.6,0
Antequera De Oaxaca,34.0833603,-118.3137058,9,7.4,13
Taco Bell,34.0883312,-118.3089113,34,6.7,28
Public Storage,34.3214919,-118.481515,0,6.5,0
La Villa Mexican Food,33.8914156,-118.3268127,25,7.1,41
7-Eleven,33.8942627,-118.3182044,13,7.0,40
7-Eleven,33.8815083,-118.2043917,16,8.6,22
7-Eleven,33.83915590000001,-118.3757555,10,6.2,24
Mucho Mas,34.1724424,-118.358111,55,8.4,191
Sbarro,33.829724,-118.349616,2,6.5,10
7-Eleven,33.9750359,-118.2690764,2,6.5,8
Taco Bell,33.9020788,-118.2529592,2,6.1,2
Red Chili,34.2284282,-118.5276994,42,7.7,37
Taco Bell,34.2284353,-118.5277196,8,6.0,43
7-Eleven,34.2207593,-118.5182863,6,7.0,24
7-Eleven,34.2290116,-118.527868,10,7.6,25
Coyote Cantina,33.8503133,-118.3892444,30,8.4,25
7-Eleven,33.8585493,-118.3908156,4,6.3,24
Cilantro Mexican Grill,34.2017813,-118.4047633,22,8.3,28
Taco Bell,34.1937051,-118.4140968,3,5.0,5
Zamora Bros,34.0526547,-118.2198361,6,7.3,7
7-Eleven,34.0575059,-118.210176,1,6.6,22
Chile Verde,33.8195184,-118.320572,5,7.1,4
7-Eleven,33.8205483,-118.320043,15,7.2,31
7-Eleven,34.1849818,-118.3488886,13,6.7,37
7-Eleven,33.8887996,-118.2375178,7,6.9,26
7-Eleven,34.2646844,-118.437818,5,6.7,26
Taco Bell,34.0700697,-118.4440913,4,6.3,5
Frida Mexican Cuisine,34.1441507,-118.2552974,123,7.1,345
Casa Sanchez,33.9927464,-118.422663,57,7.8,134
Paco's Tacos,33.9961183,-118.4277923,105,8.4,165
New Flavors,33.996164,-118.4279292,8,5.3,7
Tacomiendo,33.9949141,-118.4174626,28,7.8,61
Public Storage,33.9986969,-118.418786,0,6.5,0
7-Eleven,33.9159989,-118.2548432,0,6.5,22
El Torito,33.9734352,-118.4463024,71,6.9,208
El Pescador,34.1065499,-118.1983598,26,7.2,39
Las Cazuelas Restaurant & Pupuseria,34.1099383,-118.1927847,19,7.8,32
La Fuente Restaurant,34.1107713,-118.1960292,18,8.3,12
EL GRINGO HERMOSA,33.8724481,-118.4050457,30,8.0,42
Good Stuff Restaurant,33.8625983,-118.4017281,92,8.2,154
Palmilla Cocina y Tequila,33.8622888,-118.4010435,80,8.7,175
Public Storage,34.1550647,-118.4479348,0,6.5,1
Las Trancas Restaurant,33.9917473,-118.1846958,4,6.1,9
La Tequila,33.9893289,-118.1850022,3,6.9,5
7-Eleven,34.2541859,-118.4100805,8,6.5,28
Cemitas La China Poblana,34.0255104,-118.1964862,11,7.8,17
Carrillo's Tortilleria,34.2840675,-118.4456031,23,8.0,19
